,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
43,memphisgrizzlies,houstonrockets,113,93,20,Memphis,-6.5,196,1,1,1230,-0.6,0.07,1.86,-1.5,-3.4,1.9,-0.9,0.04,-0.08,-0.01,-0.02,0.1,2.3,0.03,-0.01,2.5,-0.7,0.02
44,minnesotatimberwolves,miamiheat,101,103,-2,Miami,8.5,209.5,1,0,1230,-3.9,0.64,-7.55,-2.3,6.4,-8.7,2.1,-0.0,0.06,-0.03,-0.03,-0.5,0.9,-0.0,0.01,-3.6,-0.9,-0.01
45,dallasmavericks,torontoraptors,99,86,13,Dallas,-8.5,192,1,0,1230,5.6,1.19,5.45,2.5,-2.2,4.7,2.1,-0.03,0.06,0.01,0.01,-1.4,-2.5,-0.02,0.0,1.1,-0.6,-0.06
46,milwaukeebucks,washingtonwizards,102,81,21,Milwaukee,-8.5,185.5,1,0,1230,2.0,-0.16,4.91,4.5,-1.0,5.5,1.2,-0.0,0.03,0.01,0.01,-1.3,0.4,0.01,-0.0,0.4,0.0,-0.01
47,utahjazz,philadelphia76ers,102,99,3,Philadelphia,5,191.5,1,1,1230,0.7,0.95,-2.67,2.9,6.9,-4.0,1.7,0.09,-0.02,0.01,0.0,2.1,5.8,0.07,0.03,0.3,-1.4,0.05
48,laclippers,chicagobulls,101,114,-13,Chicago,1,191.5,0,1,1230,0.2,1.02,-4.61,1.1,7.4,-6.3,0.1,0.03,0.06,0.01,0.01,-0.5,-3.1,0.01,0.04,1.4,-1.1,0.07
49,lalakers,denvernuggets,92,89,3,LALakers,-5.0,198,0,0,1231,3.1,0.25,-1.2,-3.2,-1.8,-1.4,-3.7,-0.03,-0.03,-0.02,-0.03,0.1,1.4,-0.01,-0.03,-3.6,0.5,-0.03
50,detroitpistons,indianapacers,96,88,8,Indiana,2.5,181.5,1,1,1231,0.0,0.31,-7.79,-5.7,3.2,-8.9,-1.5,-0.04,-0.02,-0.02,-0.01,1.9,-1.1,-0.04,0.02,0.1,0.5,0.0
51,houstonrockets,atlantahawks,95,84,11,Houston,-1.0,193,1,0,1231,-1.7,1.12,-2.1,0.6,4.0,-3.4,1.5,-0.02,-0.01,-0.01,-0.01,0.1,3.6,-0.01,0.01,-0.6,-1.0,0.02
52,oklahomacitythunder,phoenixsuns,107,97,10,OklahomaCity,-11.5,201.5,0,1,1231,-3.8,-0.21,6.15,3.6,-3.3,6.9,0.4,0.08,0.01,0.03,0.02,2.0,2.0,0.07,-0.03,-0.1,0.4,0.01
